ID,Measure,Subject,,SubCategory,HebSubject,HebCategory,HebSubCategory,Year
USEMATH,Use of ICT in Mathematic Lessons,Student Index,,,מדדי תלמידים,,,2012
USESCH,Use of ICT at School,Student Index,,,מדדי תלמידים,,,2012
WEALTH,Wealth,Student Index,,,מדדי תלמידים,עושר,,2012
ANCATSCHL,Attitude towards School: Learning Outcomes (Anchored),Student Index,,,מדדי תלמידים,גישה לבית הספר: למידת תוצרים,,2012
ANCATTLNACT,Attitude towards School: Learning Activities (Anchored),Student Index,,,מדדי תלמידים,גישה לבית הספר: למידת פעילויות,,2012
ANCBELONG,Sense of Belonging to School (Anchored),Student Index,,,מדדי תלמידים,תחושת שייכות לבית הספר,,2012
ANCCLSMAN,Mathematics Teacher's Classroom Management (Anchored),Student Index,,,מדדי תלמידים,ניהול הכיתה של מורת מתמטיקה,,2012
ANCCOGACT,Cognitive Activation in Mathematics Lessons (Anchored),Student Index,,,מדדי תלמידים,פעילות קוגנטיבית בשיעורי מתמטיקה,,2012
ANCINSTMOT,Instrumental Motivation for Mathematics (Anchored),Student Index,,,מדדי תלמידים,מוטיבציה אינסטרומנטלית למתמטיקה,,2012
ANCINTMAT,Mathematics Interest (Anchored),Student Index,,,מדדי תלמידים,עניין במתמטיקה,,2012
ANCMATWKETH,Mathematics Work Ethic (Anchored),Student Index,,,מדדי תלמידים,אתיקת עבודה במתמטיקה,,2012
ANCMTSUP,Mathematics Teacher's Support (Anchored),Student Index,,,מדדי תלמידים,תמיכת המורה למתמטיקה,,2012
ANCSCMAT,Mathematics Self-Concept (Anchored),Student Index,,,מדדי תלמידים,הערכה עצמית במתמטיקה,,2012
ANCSTUDREL,Teacher Student Relations (Anchored),Student Index,,,מדדי תלמידים,יחסי מורה-תלמיד,,2012
ANCSUBNORM,Subjective Norms in Mathematics (Anchored),Student Index,,,מדדי תלמידים,נורמות אישיות במתמטיקה,,2012
SC01Q01,Public or private,The Structure and Organisation of the School,,Public or private,אופי בית הספר,ציבורי או פרטי,,2012
SC02Q01,Funding - Government,The Structure and Organisation of the School,,Government,אופי בית הספר,אחוזי מימון,,2012
SC02Q02,Funding - Student fees,The Structure and Organisation of the School,,Student fees,אופי בית הספר,מימון הורים,,2012
SC02Q03,Funding - Benefactors,The Structure and Organisation of the School,,Benefactors,אופי בית הספר,מימון תורמים,,2012
SC02Q04,Funding - Other,The Structure and Organisation of the School,,Other,אופי בית הספר,מימון אחר,,2012
SC03Q01,School Location,The Structure and Organisation of the School,,School Location,אופי בית הספר,גודל יישוב,,2012
SC04Q01,Competition between schools,The Structure and Organisation of the School,,Competition between schools,אופי בית הספר,תחרות עם בתי ספר,,2012
SC05Q01,Class size in <test language>,The Structure and Organisation of the School,,Class size in <test language>,אופי בית הספר,גודל כיתות,סך הכל,2012
SC07Q01,Enrolment - Number of boys,The Student and Teacher Body,,Number of boys,אופי בית הספר,גודל כיתות,בנים,2012
SC07Q02,Enrolment - Number of girls,The Student and Teacher Body,,Number of girls,אופי בית הספר,גודל כיתות,בנות,2012
SC09Q11,No. of teachers - Total Full Time,The Student and Teacher Body,,Total Full Time,מורים,מספר מורים,משרה מלאה,2012
SC09Q12,No. of teachers - Total Part time,The Student and Teacher Body,,Total Part time,מורים,מספר מורים,משרה חלקית,2012
SC09Q21,No. of teachers - Certified Full Time,The Student and Teacher Body,,Certified Full Time,מורים,מספר מורים,מוסמכים על ידי משרד החינוך במשרה מלאה,2012
SC09Q22,No. of teachers - Certified Part Time,The Student and Teacher Body,,Certified Part Time,מורים,מספר מורים,מוסמכים על ידי משרד החינוך במשרה חלקית,2012
SC09Q31,No. of teachers - <ISCED5A> Qualified Full Time,The Student and Teacher Body,,Qualified Full Time,מורים,מספר מורים,בעלי תואר ראשון במשרה מלאה,2012
SC09Q32,No. of teachers - <ISCED5A> Qualified Part Time,The Student and Teacher Body,,Qualified Part Time,מורים,מספר מורים,בעלי תואר ראשון במשרה חלקית,2012
SC10Q11,No. of maths teachers - Total Full Time,The Student and Teacher Body,,Total Full Time,מורים,מספר מורים למתמטיקה,משרה מלאה,2012
SC10Q12,No. of maths teachers - Total Part time,The Student and Teacher Body,,Total Part time,מורים,מספר מורים למתמטיקה,משרה חלקית,2012
SC10Q21,No. of maths teachers - <ISCED5A> Qual Maths Major Full Time,The Student and Teacher Body,,Qual Maths Major Full Time,מורים,מספר מורים למתמטיקה,בעלי תואר ראשון במתמטיקה במשרה מלאה,2012
SC10Q22,No. of maths teachers - <ISCED5A> Qual Maths Major Part Time,The Student and Teacher Body,,Qual Maths Major Part Time,מורים,מספר מורים למתמטיקה,בעלי תואר ראשון במתמטיקה במשרה חלקית,2012
SC10Q41,No. of maths teachers - <ISCED5A> Qual Pedagogy Full Time,The Student and Teacher Body,,Qual Pedagogy Full Time,מורים,מספר מורים למתמטיקה,תואר ראשון בחינוך במשרה מלאה,2012
SC10Q42,No. of maths teachers - <ISCED5A> Qual Pedagogy Part Time,The Student and Teacher Body,,Qual Pedagogy Part Time,מורים,מספר מורים למתמטיקה,תואר ראשון בחינוך במשרה חלקית,2012
SC10Q51,No. of maths teachers - <ISCED5B> Qual Full Time,The Student and Teacher Body,,<ISCED5B> Qual Full Time,מורים,מספר מורים למתמטיקה,לימודי תעודה במשרה מלאה,2012
SC10Q52,No. of maths teachers - <ISCED5B> Qual Part Time,The Student and Teacher Body,,<ISCED5B> Qual Part Time,מורים,מספר מורים למתמטיקה,לימודי תעודה במשרה חלקית,2012
SC10Q61,No. of maths teachers - <ISCED5A> Qual Full Time,The Student and Teacher Body,,<ISCED5A> Qual Full Time,מורים,מספר מורים למתמטיקה,תואר ראשון במשרה מלאה,2012
SC10Q62,No. of maths teachers - <ISCED5A> Qual Part Time,The Student and Teacher Body,,<ISCED5A> Qual Part Time,מורים,מספר מורים למתמטיקה,תואר ראשון במשרה חלקית,2012
SC11Q01,Student Computers - Total number of students in the <national modal grade for 15-year-olds>,The School's Resources,,Total number of students,בית הספר,מספר תלמידים,בשכבה י,2012
SC11Q02,Student Computers - Computers for Education,The School's Resources,,Computers for Education,משאבי בית הספר,מחשבים לצרכים לימודיים,בערך כמה מחשבים עומדים לרשות תלמידים אלה לצרכים לימודיים,2012
SC11Q03,Student Computers - Computers with Internet,The School's Resources,,Computers with Internet,משאבי בית הספר,מחשבים מחוברים לאינטרנט,"בערך כמה מחשבים מתוך הנ""ל מחוברים לאינטרנט",2012
SC13Q01,Internet schoolwork - Lessons,The School's Resources,,Lessons,משאבי בית הספר,שימוש באינטרנט,בשיעורים,2012
SC13Q02,Internet schoolwork - Homework,The School's Resources,,Homework,משאבי בית הספר,שימוש באינטרנט,בשיעורי בית,2012
SC13Q03,Internet schoolwork - Assignments,The School's Resources,,Assignments,משאבי בית הספר,שימוש באינטרנט,במשימות,2012
SC14Q01,Shortage - Science teachers,The School's Resources,,Science teachers,מורים,מחסור במורים,מורים מוסמכים למדעים,2012
SC14Q02,Shortage - Maths teachers,The School's Resources,,Maths teachers,מורים,מחסור במורים,מורים מוסמכים למתמטיקה,2012
SC14Q03,Shortage - <Test language> teachers,The School's Resources,,<Test language> teachers,מורים,מחסור במורים,מורים מוסמכים למקצועות השפה,2012
SC14Q04,Shortage - Other teachers,The School's Resources,,Other teachers,מורים,מחסור במורים,מורים מוסמכים למקצועות אחרים,2012
SC14Q05,Shortage - Science lab equipment,The School's Resources,,Science lab equipment,משאבי בית הספר,מחסור,ציוד או ציוד מקולקל במעבדות המדעים,2012
SC14Q06,Shortage - Instructional materials,The School's Resources,,Instructional materials,משאבי בית הספר,מחסור,חומרי הדרכה או אי התאמה שלהם (לדוגמה,2012
SC14Q07,Shortage - Computers for instruction,The School's Resources,,Computers for instruction,משאבי בית הספר,מחסור,מחשבים להוראה או אי תקינות שלהם,2012
SC14Q08,Shortage - Internet connectivity,The School's Resources,,Internet connectivity,משאבי בית הספר,מחסור,תקשורת אינטרנט או אי תקינות שלה,2012
SC14Q09,Shortage - Computer software,The School's Resources,,Computer software,משאבי בית הספר,מחסור,תוכנות מחשב להוראה (לומדות) או אי התאמה שלהן,2012
SC14Q10,Shortage - Library materials,The School's Resources,,Library materials,משאבי בית הספר,מחסור,חומרי ספריה או אי התאמה שלהם,2012
SC14Q11,Shortage - Buildings and grounds,The School's Resources,,Buildings and grounds,משאבי בית הספר,מחסור,בניינים ושטח,2012
SC14Q12,Shortage - Heating/cooling and lighting,The School's Resources,,Heating/cooling and lighting,משאבי בית הספר,מחסור,מזגנים ואור,2012
SC14Q13,Shortage - Instructional space,The School's Resources,,Instructional space,משאבי בית הספר,מחסור,שטח לימוד,2012
SC15Q01,Ability grouping - Similar content/different difficulty,School Instruction Curriculum and Assessment,,Similar content/different difficulty,תכנית הלימודים,תכנים לימודיים,תוכן זהה לכולם,2012
SC15Q02,Ability grouping - Different content/different difficulty,School Instruction Curriculum and Assessment,,Different content/different difficulty,תכנית הלימודים,תכנים לימודיים,תוכן מותאם,2012
SC15Q03,Ability grouping - Grouped by ability,School Instruction Curriculum and Assessment,,Grouped by ability,תכנית הלימודים,חלוקת כיתות,הקבצות,2012
SC15Q04,Ability grouping - Not grouped by ability,School Instruction Curriculum and Assessment,,Not grouped by ability,תכנית הלימודים,חלוקת כיתות,כיתות הטרוגניות,2012
SC16Q01,Activities - Band,School Instruction Curriculum and Assessment,,Band,בית הספר,פעילויות,להקה,2012
SC16Q02,Activities - School play,School Instruction Curriculum and Assessment,,School play,בית הספר,פעילויות,הצגה או מחזמר של בית הספר,2012
SC16Q03,Activities - Yearbook or newspaper,School Instruction Curriculum and Assessment,,Yearbook or newspaper,בית הספר,פעילויות,ספר מחזור או עיתון בית ספר,2012
SC16Q04,Activities - Volunteering,School Instruction Curriculum and Assessment,,Volunteering,בית הספר,פעילויות,פעילויות התנדבות,2012
SC16Q05,Activities - Mathematics club,School Instruction Curriculum and Assessment,,Mathematics club,בית הספר,פעילויות,מועדון מתמטיקה,2012
SC16Q06,Activities - Mathematics competitions,School Instruction Curriculum and Assessment,,Mathematics competitions,בית הספר,פעילויות,תחרויות מתמטיקה,2012
SC16Q07,Activities - Chess club,School Instruction Curriculum and Assessment,,Chess club,בית הספר,פעילויות,מועדון שחמט,2012
SC16Q08,Activities - Computer or ICT club,School Instruction Curriculum and Assessment,,Computer or ICT club,בית הספר,פעילויות,מועדון מחשבים,2012
SC16Q09,Activities - Art club,School Instruction Curriculum and Assessment,,Art club,בית הספר,פעילויות,מועדון אמנות,2012
SC16Q10,Activities - Sporting team,School Instruction Curriculum and Assessment,,Sporting team,בית הספר,פעילויות,קבוצת ספורט,2012
SC16Q11,Activities - <country specific item>,School Instruction Curriculum and Assessment,,<country specific item>,תכנית הלימודים,פעילויות,,2012
SC18Q01,Assessments - Child's Progress,School Instruction Curriculum and Assessment,,Child's Progress,תכנית הלימודים,הערכה,התקדמות הילד,2012
SC18Q02,Assessments - Student Promotion,School Instruction Curriculum and Assessment,,Student Promotion,תכנית הלימודים,הערכה,קידום התלמיד,2012
SC18Q03,Assessments - Instruction,School Instruction Curriculum and Assessment,,Instruction,תכנית הלימודים,הערכה,,2012
SC18Q04,Assessments - National Performance,School Instruction Curriculum and Assessment,,National Performance,תכנית הלימודים,הערכה,,2012
SC18Q05,Assessments - School's Progress,School Instruction Curriculum and Assessment,,School's Progress,תכנית הלימודים,הערכה,התקדמות בית הספר,2012
SC18Q06,Assessments - Teachers,School Instruction Curriculum and Assessment,,Teachers,תכנית הלימודים,הערכה,מבחנים שחיברו מורי בית הספר,2012
SC18Q07,Assessments - Curriculum,School Instruction Curriculum and Assessment,,Curriculum,תכנית הלימודים,הערכה,תכנית לימודים,2012
SC18Q08,Assessments - Other Schools,School Instruction Curriculum and Assessment,,Other Schools,תכנית הלימודים,הערכה,בתי ספר אחרים,2012
SC19Q01,Achievement - Posted Publicly,School Instruction Curriculum and Assessment,,Posted Publicly,תכנית הלימודים,הישגים,,2012
SC19Q02,Achievement - Tracked by Authority,School Instruction Curriculum and Assessment,,Tracked by Authority,תכנית הלימודים,הישגים,,2012
SC20Q01,Additional maths lessons,School Instruction Curriculum and Assessment,,Amount,תכנית הלימודים,שיעורי עזר במתמטיקה,כמות,2012
SC21Q05,Purpose of additional maths lessons,School Instruction Curriculum and Assessment,,Purpose,תכנית הלימודים,שיעורי עזר במתמטיקה,מטרה,2012
SC22Q01,Learning Hindrance - Students truancy,School Climate,,Students truancy,אקלים בית הספר,,,2012
SC22Q02,Learning Hindrance - Skipping classes,School Climate,,Skipping classes,אקלים בית הספר,,,2012
SC22Q03,Learning Hindrance - Students being late,School Climate,,Students being late,אקלים בית הספר,,,2012
SC22Q04,Learning Hindrance - Students skipping events,School Climate,,Students skipping events,אקלים בית הספר,,,2012
SC22Q05,Learning Hindrance - Students lacking respect,School Climate,,Students lacking respect,אקלים בית הספר,,,2012
SC22Q06,Learning Hindrance - Students Disruption,School Climate,,Students Disruption,אקלים בית הספר,,,2012
SC22Q07,Learning Hindrance - Students drug use,School Climate,,Students drug use,אקלים בית הספר,,,2012
SC22Q08,Learning Hindrance - Students being bullied,School Climate,,Students being bullied,אקלים בית הספר,,,2012
SC22Q09,Learning Hindrance - Students not encouraged,School Climate,,Students not encouraged,אקלים בית הספר,,,2012
SC22Q10,Learning Hindrance - Poor student-teacher relations,School Climate,,Poor student-teacher relations,אקלים בית הספר,,,2012
SC22Q11,Learning Hindrance - Heterogeneous classes,School Climate,,Heterogeneous classes,אקלים בית הספר,,,2012
SC22Q12,Learning Hindrance - Diverse ethnic backgrounds,School Climate,,Diverse ethnic backgrounds,אקלים בית הספר,,,2012
SC22Q13,Learning Hindrance - Teachers low expectations,School Climate,,Teachers low expectations,אקלים בית הספר,,,2012
SC22Q14,Learning Hindrance - Students needs not met,School Climate,,Students needs not met,אקלים בית הספר,,,2012
SC22Q15,Learning Hindrance - Teacher absenteeism,School Climate,,Teacher absenteeism,אקלים בית הספר,,,2012
SC22Q16,Learning Hindrance - Staff resisting change,School Climate,,Staff resisting change,אקלים בית הספר,,,2012
SC22Q17,Learning Hindrance - Teachers too strict,School Climate,,Teachers too strict,אקלים בית הספר,,,2012
SC22Q18,Learning Hindrance - Teachers being late,School Climate,,Teachers being late,אקלים בית הספר,,,2012
SC22Q19,Learning Hindrance - Teachers being unprepared,School Climate,,Teachers being unprepared,אקלים בית הספר,,,2012
SC23Q01,Students leaving without certificate,School Climate,,Students leaving without certificate,אקלים בית הספר,,,2012
SC24Q01,Parental achievement pressure,School Climate,,Parental achievement pressure,אקלים בית הספר,,,2012
SC25Q01,Parent Participation - Behaviour discussion parent initiative,School Climate,,Behaviour discussion parent initiative,אקלים בית הספר,השתתפות הורים,,2012
SC25Q02,Parent Participation - Behaviour discussion teacher initiative,School Climate,,Behaviour discussion teacher initiative,אקלים בית הספר,השתתפות הורים,,2012
SC25Q03,Parent Participation - Progress discussion parent initiative,School Climate,,Progress discussion parent initiative,אקלים בית הספר,השתתפות הורים,,2012
SC25Q04,Parent Participation - Progress discussion teacher initiative,School Climate,,Progress discussion teacher initiative,אקלים בית הספר,השתתפות הורים,,2012
SC25Q05,Parent Participation - Assistance building and grounds,School Climate,,Assistance building and grounds,אקלים בית הספר,השתתפות הורים,,2012
SC25Q06,Parent Participation - Extra-curricular volunteering,School Climate,,Extra-curricular volunteering,אקלים בית הספר,השתתפות הורים,,2012
SC25Q07,Parent Participation - Library volunteering,School Climate,,Library volunteering,אקלים בית הספר,השתתפות הורים,,2012
SC25Q08,Parent Participation - Teacher assistance,School Climate,,Teacher assistance,אקלים בית הספר,השתתפות הורים,,2012
SC25Q09,Parent Participation - Guest speaking,School Climate,,Guest speaking,אקלים בית הספר,השתתפות הורים,,2012
SC25Q10,Parent Participation - School government,School Climate,,School government,אקלים בית הספר,השתתפות הורים,,2012
SC25Q11,Parent Participation - Fundraising,School Climate,,Fundraising,אקלים בית הספר,השתתפות הורים,,2012
SC25Q12,Parent Pariticpation - <Canteen>,School Climate,,<Canteen>,אקלים בית הספר,השתתפות הורים,,2012
SC26Q01,Teacher morale - High Morale,School Climate,,High Morale,אקלים בית הספר,,,2012
SC26Q02,Teacher morale - Enthusiasm,School Climate,,Enthusiasm,אקלים בית הספר,,,2012
SC26Q03,Teacher morale - Pride,School Climate,,Pride,אקלים בית הספר,,,2012
SC26Q04,Teacher morale - Value achievement,School Climate,,Value achievement,אקלים בית הספר,,,2012
SC27Q01,Teacher intentions - Trying new methods,School Climate,,Trying new methods,אקלים בית הספר,,,2012
SC27Q02,Teacher intentions - Stay with well-known methods,School Climate,,Stay with well-known methods,אקלים בית הספר,,,2012
SC28Q01,Teacher intentions - Maximise achievement,School Climate,,Maximise achievement,אקלים בית הספר,,,2012
SC28Q02,Teacher intentions - Adapt standards,School Climate,,Adapt standards,אקלים בית הספר,,,2012
SC29Q01,Teacher intentions - Social development,School Climate,,Social development,אקלים בית הספר,,,2012
SC29Q02,Teacher intentions - Development of maths skills,School Climate,,Development of maths skills,אקלים בית הספר,,,2012
SC30Q01,Teacher Monitoring - Student Achievement tests,School Climate,,Student Achievement tests,אקלים בית הספר,,,2012
SC30Q02,Teacher Monitoring - Teacher peer review,School Climate,,Teacher peer review,אקלים בית הספר,,,2012
SC30Q03,Teacher Monitoring - Principal or senior staff,School Climate,,Principal or senior staff,אקלים בית הספר,,,2012
SC30Q04,Teacher Monitoring - External observers,School Climate,,External observers,אקלים בית הספר,,,2012
SC31Q01,Teacher Appraisal - Salary change,School Climate,,Salary change,אקלים בית הספר,,,2012
SC31Q02,Teacher Appraisal - Financial bonus,School Climate,,Financial bonus,אקלים בית הספר,,,2012
SC31Q03,Teacher Appraisal - Professional development,School Climate,,Professional development,אקלים בית הספר,,,2012
SC31Q04,Teacher Appraisal - Career advancement,School Climate,,Career advancement,אקלים בית הספר,,,2012
SC31Q05,Teacher Appraisal - Public recognition,School Climate,,Public recognition,אקלים בית הספר,,,2012
SC31Q06,Teacher Appraisal - Work responsibilities,School Climate,,Work responsibilities,אקלים בית הספר,,,2012
SC31Q07,Teacher Appraisal - School development,School Climate,,School development,אקלים בית הספר,,,2012
SC32Q01,Admission - Academic record,School Policies and Practices,,Academic record,מדיניות בית הספר,קבלת תלמידים,ההישגים הלימודיים שהיו לתלמיד בעבר (כולל מבחני מיון),2012
SC32Q03,Admission - Feeder schools,School Policies and Practices,,Feeder schools,מדיניות בית הספר,קבלת תלמידים,המלצות מבתי ספר קודמים,2012
SC32Q04,Admission - Parents endorsement,School Policies and Practices,,Parents endorsement,מדיניות בית הספר,קבלת תלמידים,תמיכת ההורים בגישה החינוכית או הדתית של בית הספר,2012
SC32Q05,Admission - Special Programme,School Policies and Practices,,Special Programme,מדיניות בית הספר,קבלת תלמידים,האם התלמיד זקוק לתכנית מיוחדת או מעוניין במגמה מיוחד,2012
SC32Q06,Admission - Family members,School Policies and Practices,,Family members,מדיניות בית הספר,קבלת תלמידים,העדפה הניתנת לבני משפחה של תלמידים בהווה ושל תלמידים לשעבר,2012
SC32Q07,Admission - Residence,School Policies and Practices,,Residence,מדיניות בית הספר,קבלת תלמידים,מגורים,2012
SC32Q08,Admission - Other,School Policies and Practices,,Other,מדיניות בית הספר,קבלת תלמידים,גורם אחר,2012
SC33Q01A,Responsibility - Hiring teachers - Principals,Responsibility,,Principals,מדיניות בית הספר,קבלת מורים,המנהלים,2012
SC33Q01B,Responsibility - Hiring teachers - Teachers,Responsibility,,Teachers,מדיניות בית הספר,קבלת מורים,המורים,2012
SC33Q01C,Responsibility - Hiring teachers - <School governing board>,Responsibility,,<School governing board>,מדיניות בית הספר,קבלת מורים,הנהגת הורים,2012
SC33Q01D,Responsibility - Hiring teachers - <Regional or local education authority>,Responsibility,,<Regional or local education authority>,מדיניות בית הספר,קבלת מורים,רשת חינוך מקומית,2012
SC33Q01E,Responsibility - Hiring teachers - National education authority,Responsibility,,National education authority,מדיניות בית הספר,קבלת מורים,משרד החינוך,2012
SC33Q02A,Responsibility - Firing teachers - Principals,Responsibility,,Principals,מדיניות בית הספר,פיטורי מורים,המנהלים,2012
SC33Q02B,Responsibility - Firing teachers - Teachers,Responsibility,,Teachers,מדיניות בית הספר,פיטורי מורים,המורים,2012
SC33Q02C,Responsibility - Firing teachers - <School governing board>,Responsibility,,<School governing board>,מדיניות בית הספר,פיטורי מורים,הנהגת הורים,2012
SC33Q02D,Responsibility - Firing teachers - <Regional or local education authority>,Responsibility,,<Regional or local education authority>,מדיניות בית הספר,פיטורי מורים,רשת חינוך מקומית,2012
SC33Q02E,Responsibility - Firing teachers - National education authority,Responsibility,,National education authority,מדיניות בית הספר,פיטורי מורים,משרד החינוך,2012
SC33Q03A,Responsibility - Teacher start salaries - Principals,Responsibility,,Principals,מדיניות בית הספר,שכר התחלתי למורים,המנהלים,2012
SC33Q03B,Responsibility - Teacher start salaries - Teachers,Responsibility,,Teachers,מדיניות בית הספר,שכר התחלתי למורים,המורים,2012
SC33Q03C,Responsibility - Teacher start salaries - <School governing board>,Responsibility,,<School governing board>,מדיניות בית הספר,שכר התחלתי למורים,הנהגת הורים,2012
SC33Q03D,Responsibility - Teacher start salaries - <Regional or local education authority>,Responsibility,,<Regional or local education authority>,מדיניות בית הספר,שכר התחלתי למורים,רשת חינוך מקומית,2012
SC33Q03E,Responsibility - Teacher start salaries - National education authority,Responsibility,,National education authority,מדיניות בית הספר,שכר התחלתי למורים,משרד החינוך,2012
SC33Q04A,Responsibility - Salary increase - Principals,Responsibility,,Principals,מדיניות בית הספר,העלאות שכר,המנהלים,2012
SC33Q04B,Responsibility - Salary increase - Teachers,Responsibility,,Teachers,מדיניות בית הספר,העלאות שכר,המורים,2012
SC33Q04C,Responsibility - Salary increase - <School governing board>,Responsibility,,<School governing board>,מדיניות בית הספר,העלאות שכר,הנהגת הורים,2012
SC33Q04D,Responsibility - Salary increase - <Regional or local education authority>,Responsibility,,<Regional or local education authority>,מדיניות בית הספר,העלאות שכר,רשת חינוך מקומית,2012
SC33Q04E,Responsibility - Salary increase - National education authority,Responsibility,,National education authority,מדיניות בית הספר,העלאות שכר,משרד החינוך,2012
SC33Q05A,Responsibility - Budget formulation - Principals,Responsibility,,Principals,מדיניות בית הספר,תקציב בית הספר,המנהלים,2012
SC33Q05B,Responsibility - Budget formulation - Teachers,Responsibility,,Teachers,מדיניות בית הספר,תקציב בית הספר,המורים,2012
SC33Q05C,Responsibility - Budget formulation - <School governing board>,Responsibility,,<School governing board>,מדיניות בית הספר,תקציב בית הספר,הנהגת הורים,2012
SC33Q05D,Responsibility - Budget formulation - <Regional or local education authority>,Responsibility,,<Regional or local education authority>,מדיניות בית הספר,תקציב בית הספר,רשת חינוך מקומית,2012
SC33Q05E,Responsibility - Budget formulation - National education authority,Responsibility,,National education authority,מדיניות בית הספר,תקציב בית הספר,משרד החינוך,2012
SC33Q06A,Responsibility - Budget allocation - Principals,Responsibility,,Principals,מדיניות בית הספר,חלוקת התקציב,המנהלים,2012
SC33Q06B,Responsibility - Budget allocation - Teachers,Responsibility,,Teachers,מדיניות בית הספר,חלוקת התקציב,המורים,2012
SC33Q06C,Responsibility - Budget allocation - <School governing board>,Responsibility,,<School governing board>,מדיניות בית הספר,חלוקת התקציב,הנהגת הורים,2012
SC33Q06D,Responsibility - Budget allocation - <Regional or local education authority>,Responsibility,,<Regional or local education authority>,מדיניות בית הספר,חלוקת התקציב,רשת חינוך מקומית,2012
SC33Q06E,Responsibility - Budget allocation - National education authority,Responsibility,,National education authority,מדיניות בית הספר,חלוקת התקציב,משרד החינוך,2012
SC33Q07A,Responsibility - Disciplinary policies - Principals,Responsibility,,Principals,מדיניות בית הספר,נהלי משמעת,המנהלים,2012
SC33Q07B,Responsibility - Disciplinary policies - Teachers,Responsibility,,Teachers,מדיניות בית הספר,נהלי משמעת,המורים,2012
SC33Q07C,Responsibility - Disciplinary policies - <School governing board>,Responsibility,,<School governing board>,מדיניות בית הספר,נהלי משמעת,הנהגת הורים,2012
SC33Q07D,Responsibility - Disciplinary policies - <Regional or local education authority>,Responsibility,,<Regional or local education authority>,מדיניות בית הספר,נהלי משמעת,רשת חינוך מקומית,2012
SC33Q07E,Responsibility - Disciplinary policies - National education authority,Responsibility,,National education authority,מדיניות בית הספר,נהלי משמעת,משרד החינוך,2012
SC33Q08A,Responsibility - Assessment policies - Principals,Responsibility,,Principals,מדיניות בית הספר,הערכת תלמידים,המנהלים,2012
SC33Q08B,Responsibility - Assessment policies - Teachers,Responsibility,,Teachers,מדיניות בית הספר,הערכת תלמידים,המורים,2012
SC33Q08C,Responsibility - Assessment policies - <School governing board>,Responsibility,,<School governing board>,מדיניות בית הספר,הערכת תלמידים,הנהגת הורים,2012
SC33Q08D,Responsibility - Assessment policies - <Regional or local education authority>,Responsibility,,<Regional or local education authority>,מדיניות בית הספר,הערכת תלמידים,רשת חינוך מקומית,2012
SC33Q08E,Responsibility - Assessment policies - National education authority,Responsibility,,National education authority,מדיניות בית הספר,הערכת תלמידים,משרד החינוך,2012
SC33Q09A,Responsibility - Student admittance - Principals,Responsibility,,Principals,מדיניות בית הספר,קבלת תלמידים,המנהלים,2012
SC33Q09B,Responsibility - Student admittance - Teachers,Responsibility,,Teachers,מדיניות בית הספר,קבלת תלמידים,המורים,2012
SC33Q09C,Responsibility - Student admittance - <School governing board>,Responsibility,,<School governing board>,מדיניות בית הספר,קבלת תלמידים,הנהגת הורים,2012
SC33Q09D,Responsibility - Student admittance - <Regional or local education authority>,Responsibility,,<Regional or local education authority>,מדיניות בית הספר,קבלת תלמידים,רשת חינוך מקומית,2012
SC33Q09E,Responsibility - Student admittance - National education authority,Responsibility,,National education authority,מדיניות בית הספר,קבלת תלמידים,משרד החינוך,2012
SC33Q10A,Responsibility - Textbook selection - Principals,Responsibility,,Principals,מדיניות בית הספר,בחירת ספרי לימוד,המנהלים,2012
SC33Q10B,Responsibility - Textbook selection - Teachers,Responsibility,,Teachers,מדיניות בית הספר,בחירת ספרי לימוד,המורים,2012
SC33Q10C,Responsibility - Textbook selection - <School governing board>,Responsibility,,<School governing board>,מדיניות בית הספר,בחירת ספרי לימוד,הנהגת הורים,2012
SC33Q10D,Responsibility - Textbook selection - <Regional or local education authority>,Responsibility,,<Regional or local education authority>,מדיניות בית הספר,בחירת ספרי לימוד,רשת חינוך מקומית,2012
SC33Q10E,Responsibility - Textbook selection - National education authority,Responsibility,,National education authority,מדיניות בית הספר,בחירת ספרי לימוד,משרד החינוך,2012
SC33Q11A,Responsibility - Course content - Principals,Responsibility,,Principals,מדיניות בית הספר,קביעת תכני השיעורים,המנהלים,2012
SC33Q11B,Responsibility - Course content - Teachers,Responsibility,,Teachers,מדיניות בית הספר,קביעת תכני השיעורים,המורים,2012
SC33Q11C,Responsibility - Course content - <School governing board>,Responsibility,,<School governing board>,מדיניות בית הספר,קביעת תכני השיעורים,הנהגת הורים,2012
SC33Q11D,Responsibility - Course content - <Regional or local education authority>,Responsibility,,<Regional or local education authority>,מדיניות בית הספר,קביעת תכני השיעורים,רשת חינוך מקומית,2012
SC33Q11E,Responsibility - Course content - National education authority,Responsibility,,National education authority,מדיניות בית הספר,קביעת תכני השיעורים,משרד החינוך,2012
SC33Q12A,Responsibility - Courses offered - Principals,Responsibility,,Principals,מדיניות בית הספר,קביעת המקצועות,המנהלים,2012
SC33Q12B,Responsibility - Courses offered - Teachers,Responsibility,,Teachers,מדיניות בית הספר,קביעת המקצועות,המורים,2012
SC33Q12C,Responsibility - Courses offered - <School governing board>,Responsibility,,<School governing board>,מדיניות בית הספר,קביעת המקצועות,הנהגת הורים,2012
SC33Q12D,Responsibility - Courses offered - <Regional or local education authority>,Responsibility,,<Regional or local education authority>,מדיניות בית הספר,קביעת המקצועות,רשת חינוך מקומית,2012
